# Z (mm) 	 Energy Deposition (MeV)
73.5	0.222308
74.5	0.198899
75.5	0.220835
76.5	0.155843
77.5	0.16086
78.5	0.165834
79.5	0.148036
80.5	0.115125
81.5	0.209124
82.5	0.132757
83.5	0.173242
84.5	0.12832
85.5	0.124846
86.5	0.123278
87.5	0.122458
88.5	0.0976537
89.5	0.0966448
90.5	0.0930759
91.5	0.0767364
92.5	0.0759758
93.5	0.0938749
94.5	0.0714951
95.5	0.0424977
96.5	0.0353753
97.5	0.0340979
98.5	0.0216882
99.5	0.0929776
100.5	577.331
101.5	378.853
102.5	386.166
103.5	362.301
104.5	398.458
105.5	360.838
106.5	376.816
107.5	368.195
108.5	372.882
109.5	413.004
110.5	401.313
111.5	396.98
112.5	384.238
113.5	417.157
114.5	417.743
115.5	448.244
116.5	399.98
117.5	396.694
118.5	406.957
119.5	386.239
120.5	399.881
121.5	397.185
122.5	382.657
123.5	395.112
124.5	405.848
125.5	400.586
126.5	402.251
127.5	413.368
128.5	397.338
129.5	421.769
130.5	402.83
131.5	419.995
132.5	415.726
133.5	423.502
134.5	414.644
135.5	424.15
136.5	420.069
137.5	437.002
138.5	438.521
139.5	438.911
140.5	405.921
141.5	440.161
142.5	423.463
143.5	428.845
144.5	428.291
145.5	436.522
146.5	427.61
147.5	434.72
148.5	431.515
149.5	435.03
150.5	432.949
151.5	460.471
152.5	413.323
153.5	451.224
154.5	429.471
155.5	464.19
156.5	486.062
157.5	458.17
158.5	461.878
159.5	482.844
160.5	479.661
161.5	489.865
162.5	454.839
163.5	474.61
164.5	452.802
165.5	481.663
166.5	497.864
167.5	466.944
168.5	443.045
169.5	475.692
170.5	438.411
171.5	451.452
172.5	446.053
173.5	458.327
174.5	466.759
175.5	463.571
176.5	441.25
177.5	460.898
178.5	450.693
179.5	458.604
180.5	482.214
181.5	458.651
182.5	470.787
183.5	445.673
184.5	475.469
185.5	484.213
186.5	484.601
187.5	457.108
188.5	467.811
189.5	495.614
190.5	468.228
191.5	466.09
192.5	482.549
193.5	505.536
194.5	515.488
195.5	529.855
196.5	521.593
197.5	500.528
198.5	479.242
199.5	494.34
200.5	493.533
201.5	516.7
202.5	571.353
203.5	547.159
204.5	535.33
205.5	502.978
206.5	529.486
207.5	537.092
208.5	511.873
209.5	483.397
210.5	488.227
211.5	498.599
212.5	514.517
213.5	500.561
214.5	526.636
215.5	524.135
216.5	515.856
217.5	512.451
218.5	554.099
219.5	513.152
220.5	524.862
221.5	525.153
222.5	561.553
223.5	534.74
224.5	527.292
225.5	540.812
226.5	528.007
227.5	538.742
228.5	525.327
229.5	534.993
230.5	527.271
231.5	531.347
232.5	529.329
233.5	489.218
234.5	569.818
235.5	535.474
236.5	531.392
237.5	541.691
238.5	533.371
239.5	489.966
240.5	490.953
241.5	512.016
242.5	513.071
243.5	521.366
244.5	512.223
245.5	519.543
246.5	512.823
247.5	524.274
248.5	513.818
249.5	518.805
250.5	552.497
251.5	544.502
252.5	544.195
253.5	534.548
254.5	551.552
255.5	552.58
256.5	523.037
257.5	536.715
258.5	524.814
259.5	544.515
260.5	552.772
261.5	550.373
262.5	578.644
263.5	573.863
264.5	566.758
265.5	545.597
266.5	558.541
267.5	530.415
268.5	559.529
269.5	548.641
270.5	546.929
271.5	565.267
272.5	580.749
273.5	600.849
274.5	580.799
275.5	555.975
276.5	545.47
277.5	551.211
278.5	592.621
279.5	551.07
280.5	565.388
281.5	564.544
282.5	561.342
283.5	569.353
284.5	572.195
285.5	581.753
286.5	578.384
287.5	570.669
288.5	588.244
289.5	602.931
290.5	605.179
291.5	612.767
292.5	592.876
293.5	620.734
294.5	616.266
295.5	619.736
296.5	633.247
297.5	628.982
298.5	643.523
299.5	623.893
300.5	640.141
301.5	669.398
302.5	640.483
303.5	640.71
304.5	627.146
305.5	631.187
306.5	632.368
307.5	644.417
308.5	657.228
309.5	688.467
310.5	675.014
311.5	686.31
312.5	670.825
313.5	661.406
314.5	695.483
315.5	681.547
316.5	689.545
317.5	701.665
318.5	722.266
319.5	699.981
320.5	726.693
321.5	721.631
322.5	718.584
323.5	728.619
324.5	721.094
325.5	747.973
326.5	747.26
327.5	782.701
328.5	779.391
329.5	789.942
330.5	815.014
331.5	844.963
332.5	837.682
333.5	832.801
334.5	842.862
335.5	877.75
336.5	895.7
337.5	930.057
338.5	921.724
339.5	942.325
340.5	938.904
341.5	965.443
342.5	967.904
343.5	1034.76
344.5	1038.37
345.5	1065.75
346.5	1082.99
347.5	1100.9
348.5	1169.56
349.5	1240.05
350.5	1313.41
351.5	1372.9
352.5	1429.42
353.5	1599.94
354.5	1668.86
355.5	1787.81
356.5	1933.77
357.5	1911.59
358.5	1968.52
359.5	1782.65
360.5	1584.26
361.5	1297.62
362.5	898.653
363.5	537.329
364.5	244.716
365.5	159.304
366.5	67.1371
367.5	24.0944
368.5	1.84861
369.5	0
370.5	3.07793
371.5	3.11004
372.5	0.140438
373.5	0.302302
374.5	3.95823
375.5	0
376.5	0
377.5	0
378.5	0
379.5	0.0252706
380.5	1.22831
381.5	0.0373941
382.5	0.00603304
383.5	0.0027738
384.5	0.986298
385.5	1.33208
386.5	1.6035
387.5	1.26511
388.5	1.43687
389.5	2.65129
390.5	0.955109
391.5	1.68551
392.5	2.11143
393.5	1.51075
394.5	2.65499
395.5	1.9003
396.5	2.6627
397.5	3.61905
398.5	6.0358
399.5	7.19063
400.5	0.176407
401.5	1.72419
402.5	6.68129
403.5	3.46167
404.5	0.127698
405.5	0.007967
406.5	0.00345884
407.5	0
408.5	0.014616
409.5	0.00131804
410.5	0
411.5	0.917779
412.5	0
413.5	0
414.5	0
415.5	0
416.5	0
417.5	0.929164
418.5	0.118928
419.5	0.00431309
420.5	1.60044
421.5	0.0744752
422.5	0
423.5	0.227537
424.5	0
425.5	0
426.5	0.192814
427.5	0
428.5	0
429.5	0
430.5	0
431.5	0
432.5	5.91302
433.5	0
434.5	0
435.5	3.12785
