# Z (mm) 	 Energy Deposition (MeV)
281.05	5921.34
281.75	5914.97
282.45	5874.92
283.15	5958.77
283.85	5926.48
284.55	5928.5
285.25	6032.14
285.95	6101.01
286.65	6040.4
287.35	6022.88
288.05	6055.41
288.75	6049.9
289.45	6085.91
290.15	6116.38
290.85	6229.55
291.55	6147.79
292.25	6210.52
292.95	6249.99
293.65	6278.1
294.35	6252.03
295.05	6268.33
295.75	6299.77
296.45	6220.36
297.15	6374.06
297.85	6374.96
298.55	6431.91
299.25	6332.02
299.95	6272.06
300.65	6311.7
301.35	6482.9
302.05	6584.98
302.75	6466.08
303.45	6541.21
304.15	6618.08
304.85	6548.79
305.55	6582.14
306.25	6570.43
306.95	6532.95
307.65	6682.44
308.35	6674.04
309.05	6661.04
309.75	6701.76
310.45	6723.1
311.15	6772.62
311.85	6724.28
312.55	6876.13
313.25	6892.78
313.95	6888.85
314.65	6950
315.35	7077.49
316.05	7098.47
316.75	7133.01
317.45	7071.3
318.15	7184.91
318.85	7188.95
319.55	7348.04
320.25	7292.23
320.95	7376.17
321.65	7431.28
322.35	7467.54
323.05	7467.81
323.75	7459.68
324.45	7725.56
325.15	7577.61
325.85	7664.01
326.55	7708.32
327.25	7813.02
327.95	7872.16
328.65	7845.47
329.35	8035.96
330.05	8101.91
330.75	8109.83
331.45	8333.99
332.15	8224.52
332.85	8323.34
333.55	8304.81
334.25	8446.65
334.95	8478.41
335.65	8646.3
336.35	8774.21
337.05	8831.46
337.75	9020.37
338.45	9074.16
339.15	9346.61
339.85	9254.93
340.55	9387.04
341.25	9644.61
341.95	9674.58
342.65	9712.74
343.35	10027.8
344.05	10200.9
344.75	10284
345.45	10622.7
346.15	10804.1
346.85	10922.5
347.55	11263
348.25	11611.6
348.95	11992.9
349.65	12279.3
350.35	12697.1
351.05	13222.8
351.75	13668.3
352.45	14358.3
353.15	15031.7
353.85	15709
354.55	16808.7
355.25	17730.2
355.95	18472
356.65	19331.9
357.35	19772.8
358.05	20262.8
358.75	20076.6
359.45	18978.5
360.15	17532.9
360.85	15634
361.55	13292.2
362.25	11049
362.95	8087.39
363.65	5712.98
364.35	4027.18
365.05	2613.16
