# Z (mm) 	 Energy Deposition (MeV)
154.5	4.59435
155.5	3.64101
156.5	1.83895
157.5	2.49412
158.5	4.39175
159.5	3.54489
160.5	4.05427
161.5	2.51091
162.5	3.18756
163.5	3.33642
164.5	3.0522
165.5	3.54377
166.5	3.94983
167.5	1.93761
168.5	2.60484
169.5	2.63628
170.5	3.36726
171.5	5.75288
172.5	2.23609
173.5	3.63185
174.5	2.76576
175.5	4.56418
176.5	2.34809
177.5	2.05106
178.5	3.41014
179.5	2.81807
180.5	5.04335
181.5	2.8452
182.5	4.29827
183.5	3.38317
184.5	3.52111
185.5	3.80203
186.5	6.00386
187.5	3.89257
188.5	9.40454
189.5	5.00221
190.5	3.46397
191.5	5.05266
192.5	6.60599
193.5	4.84971
194.5	2.71115
195.5	2.72951
196.5	5.34717
197.5	3.08612
198.5	2.12485
199.5	5.13202
200.5	3.00776
201.5	2.14634
202.5	4.46058
203.5	6.3898
204.5	1.86162
205.5	3.7924
206.5	3.49606
207.5	5.13462
208.5	4.00651
209.5	5.52166
210.5	3.73775
211.5	5.6387
212.5	2.35048
213.5	3.20929
214.5	4.95438
215.5	3.3139
216.5	4.6142
217.5	3.44017
218.5	4.13494
219.5	3.45571
220.5	4.15205
221.5	4.23076
222.5	5.20399
223.5	4.04354
224.5	3.96535
225.5	2.67015
226.5	4.10026
227.5	2.8246
228.5	5.7765
229.5	5.074
230.5	2.35848
231.5	4.27792
232.5	3.36242
233.5	4.63579
234.5	3.27304
235.5	3.47388
236.5	3.27076
237.5	2.48342
238.5	5.04546
239.5	1.62307
240.5	5.34706
241.5	3.44935
242.5	2.94106
243.5	4.23933
244.5	3.62641
245.5	4.04587
246.5	1.91881
247.5	4.15985
248.5	4.72889
249.5	3.45739
250.5	1.80929
251.5	3.98404
252.5	4.38101
253.5	4.25717
254.5	6.61931
255.5	4.66093
256.5	2.53548
257.5	3.88686
258.5	3.7016
259.5	2.43934
260.5	3.23329
261.5	3.41885
262.5	3.99966
263.5	4.73097
264.5	4.58314
265.5	4.82796
266.5	3.4124
267.5	3.44299
268.5	3.57498
269.5	2.4381
270.5	3.76595
271.5	5.42837
272.5	4.13276
273.5	3.22667
274.5	4.15843
275.5	5.01564
276.5	4.14661
277.5	2.17769
278.5	2.13929
279.5	4.12074
280.5	1.84419
281.5	3.24125
282.5	3.84253
283.5	2.66983
284.5	5.04173
285.5	2.91752
286.5	2.6456
287.5	3.97586
288.5	5.37793
289.5	5.70851
290.5	3.60752
291.5	5.13224
292.5	4.17659
293.5	2.10569
294.5	2.47738
295.5	5.07177
296.5	2.54272
297.5	3.58115
298.5	2.76421
299.5	3.55551
300.5	3.94722
301.5	4.09638
302.5	3.55767
303.5	3.54861
304.5	3.54228
305.5	2.29709
306.5	2.21778
307.5	3.74953
308.5	1.72795
309.5	4.73509
310.5	2.97486
311.5	2.48873
312.5	5.08232
313.5	3.30236
314.5	3.30981
315.5	2.99461
316.5	4.76772
317.5	3.79361
318.5	3.14714
319.5	4.47794
320.5	5.38173
321.5	5.257
322.5	5.00793
323.5	6.01531
324.5	1.91604
325.5	4.75522
326.5	3.68738
327.5	2.49716
328.5	4.94994
329.5	3.04805
330.5	4.82682
331.5	4.12154
332.5	3.21681
333.5	1.64923
334.5	2.49465
335.5	2.39995
336.5	2.90685
337.5	3.585
338.5	2.87709
339.5	2.98572
340.5	4.05503
341.5	3.38367
342.5	2.00208
343.5	6.46506
344.5	3.05148
345.5	3.56046
346.5	1.88579
347.5	5.00571
348.5	3.08756
349.5	4.20339
350.5	3.30935
351.5	2.14167
352.5	3.22436
353.5	1.34444
354.5	2.68425
355.5	4.19914
356.5	1.28673
357.5	2.40689
358.5	2.47564
359.5	2.95616
360.5	6.08836
361.5	4.6556
362.5	3.62196
363.5	1.02649
364.5	2.62908
365.5	2.95493
366.5	2.31371
367.5	4.15818
368.5	2.34055
369.5	4.20083
370.5	3.42549
371.5	3.1862
372.5	3.10372
373.5	1.94025
374.5	1.76094
375.5	3.43727
376.5	1.85787
377.5	3.05025
378.5	1.79453
379.5	0.89859
380.5	1.92847
381.5	2.3967
382.5	0.745268
383.5	2.81126
384.5	1.37896
385.5	2.56133
386.5	1.41099
387.5	1.1539
388.5	1.87599
389.5	2.09918
390.5	1.99937
391.5	2.57665
392.5	2.27788
393.5	1.24646
394.5	1.43056
395.5	2.54777
396.5	1.89894
397.5	2.67367
398.5	2.88891
399.5	2.24101
400.5	2.7693
401.5	1.525
402.5	2.92391
403.5	3.24413
404.5	3.89682
405.5	2.18672
406.5	3.60904
407.5	1.40418
408.5	1.26116
409.5	1.00129
410.5	2.65292
411.5	3.1342
412.5	1.445
413.5	2.55027
414.5	1.16084
415.5	3.26252
416.5	0.577783
417.5	0.813662
418.5	2.06359
419.5	1.69206
420.5	1.86988
421.5	1.19958
422.5	1.67198
423.5	1.9409
424.5	3.03546
425.5	1.44253
426.5	2.81261
427.5	1.64369
428.5	1.32681
429.5	1.78333
430.5	2.9787
431.5	0.817344
432.5	1.04472
433.5	1.63943
434.5	1.02505
435.5	2.21997
436.5	2.06672
437.5	3.0329
438.5	1.97019
439.5	2.00353
440.5	3.09925
441.5	0.735598
442.5	1.70593
443.5	1.26915
444.5	0.685318
445.5	2.41921
446.5	2.36526
447.5	0.624434
448.5	0.296459
449.5	2.98572
450.5	2.49925
451.5	2.60098
452.5	1.42292
453.5	1.5555
454.5	0.970361
455.5	1.31301
456.5	1.73418
457.5	0.973555
458.5	1.07662
459.5	1.50052
460.5	2.57574
461.5	0.148734
462.5	3.39327
463.5	0.751722
464.5	0.710985
465.5	0.828469
466.5	1.3641
467.5	1.00678
468.5	1.12398
469.5	0.793847
470.5	0.146918
471.5	0.456035
472.5	1.49282
473.5	1.82514
474.5	0.602531
475.5	2.07977
476.5	0.27398
477.5	1.40248
478.5	0.570804
479.5	0.897704
480.5	0.520471
481.5	0.982683
482.5	0.971372
483.5	0.947698
484.5	0.385452
485.5	1.17115
486.5	2.05976
487.5	1.66285
488.5	1.19588
489.5	1.59775
490.5	1.03339
491.5	1.17731
492.5	2.69941
493.5	0.648642
494.5	1.59495
495.5	2.31336
496.5	0.309664
497.5	0.976457
498.5	1.34424
499.5	0.300417
500.5	0.0013181
501.5	0.000780395
502.5	0.00249376
503.5	0.00171121
504.5	0.00278256
505.5	0
506.5	0
507.5	0.00508038
508.5	0.000858644
509.5	0.00106512
510.5	0
511.5	0
512.5	0
513.5	0.00268702
514.5	0.00243629
515.5	0.00273672
516.5	0.00369807
517.5	0
518.5	0.00210051
519.5	0
520.5	0
521.5	0
522.5	0
523.5	0
524.5	0
525.5	0.00281545
526.5	0
527.5	0.00675939
528.5	0
529.5	0
530.5	0
531.5	0.00698015
532.5	0.00481221
533.5	0
534.5	0
535.5	0.00684041
536.5	0
537.5	0
538.5	0
539.5	0
540.5	0
541.5	0
542.5	0
543.5	0
544.5	0
545.5	0
546.5	0.00914648
547.5	0
548.5	0
549.5	0
550.5	0
551.5	0.00706225
552.5	0
553.5	0
554.5	0
555.5	0
556.5	0
557.5	0
558.5	0
559.5	0
560.5	0
561.5	0
562.5	0.010433
563.5	0
564.5	0
565.5	0.00857861
566.5	0
567.5	0
568.5	0
569.5	0
570.5	0.00337765
571.5	0
572.5	0
573.5	0
574.5	0
575.5	0
576.5	0
577.5	0
578.5	0
579.5	0
580.5	0
581.5	0
582.5	0
583.5	0
584.5	0
585.5	0.00861775
586.5	0
587.5	0
588.5	0
589.5	0
590.5	0
591.5	0
592.5	0
593.5	0
594.5	0
595.5	0
596.5	0
597.5	0.021568
598.5	0
599.5	0
600.5	0
601.5	0
602.5	0
603.5	0
604.5	0
605.5	0
606.5	0
607.5	0
608.5	0.0345345
609.5	0
610.5	0
611.5	0
612.5	0
613.5	0
614.5	0
615.5	0
616.5	0
617.5	0
618.5	0
619.5	0
620.5	0
621.5	0
622.5	0
623.5	0.0141857
624.5	0
625.5	0
626.5	0
627.5	0
628.5	0
629.5	0.0182508
630.5	0
631.5	0
632.5	0
633.5	0
634.5	0
635.5	0
636.5	0
637.5	0
638.5	0
639.5	0
640.5	0
641.5	0
642.5	0
643.5	0
644.5	0
645.5	0
646.5	0
647.5	0
648.5	0
649.5	0
650.5	0
651.5	0
652.5	0
653.5	0
654.5	0
655.5	0
656.5	0
657.5	0
658.5	0
659.5	0
660.5	0
661.5	0
662.5	0
663.5	0
664.5	0
665.5	0
666.5	0
667.5	0
668.5	0
669.5	0
670.5	0.00351759
671.5	0
672.5	0
673.5	0
674.5	0
675.5	0.0438807
676.5	0
677.5	0.0147873
678.5	0
679.5	0
680.5	0
681.5	0
682.5	0
683.5	0
684.5	0
685.5	0.0320905
686.5	0.0204883
687.5	0
688.5	0
689.5	0
690.5	0
691.5	0
692.5	0
693.5	0
694.5	0
695.5	0
696.5	0
697.5	0
698.5	0
699.5	0
700.5	0
701.5	0
702.5	0
703.5	0
704.5	0
705.5	0
706.5	0
707.5	0
708.5	0
709.5	0
710.5	0
711.5	0
712.5	0
713.5	0
714.5	0
715.5	0.00585256
716.5	0
717.5	0
718.5	0
719.5	0
720.5	0
721.5	0
722.5	0
723.5	0
724.5	0
725.5	0
726.5	0
727.5	0
728.5	0
729.5	0
730.5	0
731.5	0
732.5	0
733.5	0
734.5	0.0306362
735.5	0
736.5	0
737.5	0
738.5	0
739.5	0
740.5	0
741.5	0
742.5	0
743.5	0
744.5	0
745.5	0
746.5	0
747.5	0
748.5	0
749.5	0
